manga_id,title,score,scored_by,status,start_date,members,favorites,created_at_before,updated_at,genres,authors,serializations,synopsis,background,main_picture,url,title_english
1,Berserk,9.45,268737,currently_publishing,8/25/1989,551266,103820,2007-07-17 20:14:45+00:00,2022-06-23 08:30:44+00:00,"['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Horror', 'Supernatural']","[{'id': 1868, 'first_name': 'Kentarou', 'last_name': 'Miura', 'role': 'Story & Art'}, {'id': 49592, 'first_name': '', 'last_name': 'Studio Gaga', 'role': 'Art'}]",['Young Animal'],"Guts, a former mercenary now known as the ""Black Swordsman,"" is out for revenge. After a tumultuous childhood, he finally finds someone he respects and believes he can trust, only to have everything fall apart when this person takes away everything important to Guts for the purpose of fulfilling his own desires. Now marked for death, Guts becomes condemned to a fate in which he is relentlessly pursued by demonic beings.

Setting out on a dreadful quest riddled with misfortune, Guts, armed with a massive sword and monstrous strength, will let nothing stop him, not even death itself, until he is finally able to take the head of the one who stripped him—and his loved one—of their humanity.

[Written by MAL Rewrite]

Included one-shot:
Volume 14: Berserk: The Prototype","Berserk won the Award for Excellence at the sixth installment of Tezuka Osamu Cultural Prize in 2002. The series has over 50 million copies in print worldwide and has been published in English by Dark Horse since November 4, 2003. It is also published in Italy, Germany, Spain, France, Brazil, South Korea, Hong Kong, Taiwan, Thailand, Poland, México and Turkey. In May 2021, the author Kentaro Miura suddenly died at the age of 54. Chapter 364 of Berserk was published posthumously on September 10, 2021. Miura would often share details about the series' story with his childhood friend and fellow mangaka Kouji Mori. Berserk resumed on June 24, 2022, with Studio Gaga handling the art and Kouji Mori's supervision.",https://cdn.myanimelist.net/images/manga/1/157897l.jpg,https://myanimelist.net/manga/2/Berserk,Berserk
2,One Piece,9.2,305917,currently_publishing,7/22/1997,501291,99526,2007-07-17 20:14:45+00:00,2022-04-18 04:48:35+00:00,"['Action', 'Adventure', 'Fantasy']","[{'id': 1881, 'first_name': 'Eiichiro', 'last_name': 'Oda', 'role': 'Story & Art'}]",['Shounen Jump (Weekly)'],"Gol D. Roger, a man referred to as the ""Pirate King,"" is set to be executed by the World Government. But just before his demise, he confirms the existence of a great treasure, One Piece, located somewhere within the vast ocean known as the Grand Line. Announcing that One Piece can be claimed by anyone worthy enough to reach it, the Pirate King is executed and the Great Age of Pirates begins.

Twenty-two years later, a young man by the name of Monkey D. Luffy is ready to embark on his own adventure, searching for One Piece and striving to become the new Pirate King. Armed with just a straw hat, a small boat, and an elastic body, he sets out on a fantastic journey to gather his own crew and a worthy ship that will take them across the Grand Line to claim the greatest status on the high seas.

[Written by MAL Rewrite]","One Piece is the highest selling manga series of all time, with over 480 million copies in circulation as of February 2021. Volume 67 of the series currently holds the record for highest first print run of any manga (including books) of all time in Japan, with 4.05 million in 2012. The series was a finalist for the Tezuka Osamu Cultural Prize three times in a row from 2000 to 2002. In 2012, it won the 41st Japan Cartoonists Association Award Grand Prize, alongside Kimuchi Yokoyama's Neko Darake. VIZ Media has published One Piece in English under the Shonen Jump imprint since January 2, 2003 and in 3-in-1 omnibus editions since December 1, 2009. VIZ Media released three boxed sets for the manga; the first including the first 23 volumes released on November 5, 2013, the second including volumes 24-46 released on November 4, 2014, and the third including volumes 47-70 released on October 4, 2016. The series has also been published in numerous amounts of languages worldwide including; Korean, Malay, Indonesian, Chinese, Thai, Vietnamese, German, French, Italian, Spanish, Portuguese, Swedish, Danish, Norwegian, Finnish, Polish, Turkish, and Russian.",https://cdn.myanimelist.net/images/manga/2/253146l.jpg,https://myanimelist.net/manga/13/One_Piece,One Piece
3,Fullmetal Alchemist,9.05,143879,finished,7/12/2001,264571,28519,2007-07-17 20:14:45+00:00,2022-06-13 18:46:09+00:00,"['Action', 'Adventure', 'Award Winning', 'Drama', 'Fantasy']","[{'id': 1874, 'first_name': 'Hiromu', 'last_name': 'Arakawa', 'role': 'Story & Art'}]",['Shounen Gangan'],"Alchemists are knowledgeable and naturally talented individuals who can manipulate and modify matter due to their art. Yet despite the wide range of possibilities, alchemy is not as all-powerful as most would believe. Human transmutation is strictly forbidden, and whoever attempts it risks severe consequences. Even so, siblings Edward and Alphonse Elric decide to ignore this great taboo and bring their mother back to life. Unfortunately, not only do they fail in resurrecting her, they also pay an extremely high price for their arrogance: Edward loses his left leg and Alphonse his entire body. Furthermore, Edward also gives up his right arm in order to seal his brother's soul into a suit of armor.

Years later, the young alchemists travel across the country looking for the Philosopher's Stone, in the hopes of recovering their old bodies with its power. However, their quest for the fated stone also leads them to unravel far darker secrets than they could ever imagine.

[Written by MAL Rewrite]","Hagane no Renkinjutsushi won the 49th Shogakukan Manga Award for the shounen demographic in 2004. Hiromu Arakawa also won the 15th Tezuka Osamu Cultural Prize in the New Artist Prize category for the series in 2011. As of 2015, over 64 million copies of the series have been sold worldwide, making it one of Square Enix's most successful publications, according to Nielsen Bookscan. A live-action film is in development by Warner Bros. Japan and is scheduled for release in Winter 2017. The series was published in English as Fullmetal Alchemist by VIZ Media from May 3, 2005 to December 20, 2011, and in eBook format by Yen Press on April 15, 2014. A 3-in-1 omnibus edition was released by VIZ from June 7, 2011 to November 11, 2014 as well as a complete box set in November 1, 2011 (which included the novel Fullmetal Alchemist: The Ties That Bind). The manga was also published in Italian by Panini Comics under the Planet Manga imprint from July 13, 2006 to September 3, 2011, in Polish by J.P. Fantastica from January 2006 to to April 2012, in Brazilian Portuguese by Jbc from February 2007 to April 2011 and in Spanish by Ivrea Argentina starting December 12, 2016.",https://cdn.myanimelist.net/images/manga/3/243675l.jpg,https://myanimelist.net/manga/25/Fullmetal_Alchemist,Fullmetal Alchemist
4,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,9.27,125482,finished,1/19/2004,209123,35456,2007-10-07 08:14:20+00:00,2022-04-18 04:02:35+00:00,"['Action', 'Adventure', 'Horror', 'Mystery', 'Supernatural']","[{'id': 2619, 'first_name': 'Hirohiko', 'last_name': 'Araki', 'role': 'Story & Art'}]",['Ultra Jump'],"In the American Old West, the world's greatest race is about to begin. Thousands line up in San Diego to travel over six thousand kilometers for a chance to win the grand prize of fifty million dollars. With the era of the horse reaching its end, contestants are allowed to use any kind of vehicle they wish. Competitors will have to endure grueling conditions, traveling up to a hundred kilometers a day through uncharted wastelands. The Steel Ball Run is truly a one-of-a-kind event.

The youthful Johnny Joestar, a crippled former horse racer, has come to San Diego to watch the start of the race. There he encounters Gyro Zeppeli, a racer with two steel balls at his waist instead of a gun. Johnny witnesses Gyro using one of his steel balls to unleash a fantastical power, compelling a man to fire his gun at himself during a duel. In the midst of the action, Johnny happens to touch the steel ball and feels a power surging through his legs, allowing him to stand up for the first time in two years. Vowing to find the secret of the steel balls, Johnny decides to compete in the race, and so begins his bizarre adventure across America on the Steel Ball Run.

[Written by MAL Rewrite]",JoJo no Kimyou na Bouken Part 7: Steel Ball Run was originally presented as an unrelated story to the JoJo series and was serialized in Weekly Shounen Jump magazine as Steel Ball Run from issues #8~47 2004. Serialization then transferred to Ultra Jump magazine from issue May 2005 and the series was officially declared as Part 7 of the JoJo no Kimyou na Bouken series.,https://cdn.myanimelist.net/images/manga/3/179882l.jpg,https://myanimelist.net/manga/1706/JoJo_no_Kimyou_na_Bouken_Part_7__Steel_Ball_Run,
5,Oyasumi Punpun,9.03,141146,finished,3/15/2007,354176,43168,2008-02-03 15:54:30+00:00,2022-04-18 04:47:05+00:00,"['Drama', 'Slice of Life']","[{'id': 2836, 'first_name': 'Inio', 'last_name': 'Asano', 'role': 'Story & Art'}]",['Big Comic Spirits'],"Punpun Onodera is a normal 11-year-old boy living in Japan. Hopelessly idealistic and romantic, Punpun begins to see his life take a subtle—though nonetheless startling—turn to the adult when he meets the new girl in his class, Aiko Tanaka. It is then that the quiet boy learns just how fickle maintaining a relationship can be, and the surmounting difficulties of transitioning from a naïve boyhood to a convoluted adulthood. When his father assaults his mother one night, Punpun realizes another thing: those whom he looked up to were not as impressive as he once thought.

As his problems increase, Punpun's once shy demeanor turns into voluntary reclusiveness. Rather than curing him of his problems and conflicting emotions, this merely intensifies them, sending him down the dark path of maturity in this grim coming-of-age saga.

[Written by MAL Rewrite]","Oyasumi Punpun was originally serialized in Young Sunday, but moved to Big Comic Spirits on October 20, 2008 (47th issue). It received a Jury Recommendation at the 13th Japan Media Arts Festival Awards in 2009. The series was published in English as Goodnight Punpun by VIZ Media under the VIZ Signature imprint in 7 omnibus volumes from March 15, 2016 to September 19, 2017. It was also published in Spanish as Buenas noches, Punpun by Norma Editorial from October 29, 2015 to October 29, 2016; in Italian as Buonanotte, Punpun by Panini Comics from April 14, 2011 to July 31, 2014; and has been published by Editorial Ivrea in Argentina since July 21, 2017.",https://cdn.myanimelist.net/images/manga/3/164420l.jpg,https://myanimelist.net/manga/4632/Oyasumi_Punpun,Goodnight Punpun
6,Vagabond,9.19,101139,on_hiatus,9/3/1998,284063,30060,2007-07-17 20:14:45+00:00,2022-07-05 15:29:52+00:00,"['Action', 'Adventure', 'Award Winning']","[{'id': 1911, 'first_name': 'Takehiko', 'last_name': 'Inoue', 'role': 'Story & Art'}, {'id': 5760, 'first_name': 'Eiji', 'last_name': 'Yoshikawa', 'role': 'Story'}]",['Morning'],"In 16th-century Japan, Shinmen Takezou is a wild, rough young man, in both his appearance and his actions. His aggressive nature has won him the collective reproach and fear of his village, leading him and his best friend, Matahachi Honiden, to run away in search of something grander than provincial life. The pair enlist in the Toyotomi army, yearning for glory—but when the Toyotomi suffer a crushing defeat at the hands of the Tokugawa Clan at the Battle of Sekigahara, the friends barely make it out alive.

After the two are separated, Shinmen returns home on a self-appointed mission to notify the Hon'iden family of Matahachi's survival. He instead finds himself a wanted criminal, framed for his friend's supposed murder based on his history of violence. Upon being captured, he is strung up on a tree and left to die. An itinerant monk, the distinguished Takuan Soho, takes pity on the ""devil child,"" secretly freeing Shinmen and christening him with a new name to avoid pursuit by the authorities: Musashi Miyamoto.

Vagabond is the fictitious retelling of the life of one of Japan's most renowned swordsmen, the ""Sword Saint"" Musashi Miyamoto—his rise from a swordsman with no desire other than to become ""Invincible Under the Heavens"" to an enlightened warrior who slowly learns of the importance of close friends, self-reflection, and life itself.

[Written by MAL Rewrite]","In 2000, Vagabond won the Japan Media Arts Festival Manga Grand Prize and the 24th Kodansha Manga Award in the general category. The series won the Tezuka Osamu Cultural Prize in 2002 and has had over 82 million copies sold worldwide. Vagabond has been published in English by VIZ Media under the VIZ Signature imprint since April 5, 2002, and in large 3-in-1 omnibuses under the VIZBIG imprint since September 16, 2008. The English release got Takehiko Inoue a nomination for the Eisner Award in the Best Writer/Artist category in 2003. It also has been published in Brazilian Portuguese by Panini Comics/Planet Manga since February 2016.",https://cdn.myanimelist.net/images/manga/1/259070l.jpg,https://myanimelist.net/manga/656/Vagabond,Vagabond
7,Vinland Saga,8.99,96045,currently_publishing,4/13/2005,234069,24881,2007-07-17 20:14:45+00:00,2022-04-18 04:16:36+00:00,"['Action', 'Adventure', 'Award Winning', 'Drama']","[{'id': 2034, 'first_name': 'Makoto', 'last_name': 'Yukimura', 'role': 'Story & Art'}]",['Afternoon'],"Thorfinn, son of one of the Vikings' greatest warriors, is among the finest fighters in the merry band of mercenaries run by the cunning Askeladd, an impressive feat for a person his age. However, Thorfinn is not part of the group for the plunder it entails—instead, for having caused his family great tragedy, the boy has vowed to kill Askeladd in a fair duel. Not yet skilled enough to defeat him, but unable to abandon his vengeance, Thorfinn spends his boyhood with the mercenary crew, honing his skills on the battlefield among the war-loving Danes, where killing is just another pleasure of life.

One day, when Askeladd receives word that Danish prince Canute has been taken hostage, he hatches an ambitious plot—one that will decide the next King of England and drastically alter the lives of Thorfinn, Canute, and himself. Set in 11th-century Europe, Vinland Saga tells a bloody epic in an era where violence, madness, and injustice are inescapable, providing a paradise for the battle-crazed and utter hell for the rest who live in it.

[Written by MAL Rewrite]","Vinland Saga won the 13th Japan Media Arts Award Grand Prize in the Manga division and the 36th Kodansha Manga Award for Best General Manga (which mangaka Makoto Yukimura accepted in full viking gear). An animated crossover between Vinland Saga and Ponkotsu Quest titled Ponkotsuland Saga was released on October 24, 2015. The series has been published in English by Kodansha Comics USA in 2-in-1 hardcover omnibuses since October 14, 2013. The release includes Makoto Yukimura's Sayonara ga Chikai no de (For Our Farewell Is Near) spread across the first five volumes. It is also published in Brazilian Portuguese by Panini Comics since February 2014; in Spanish by Planeta Cómic since October 21, 2014; and in Polish by Hanami since January 2017.",https://cdn.myanimelist.net/images/manga/2/188925l.jpg,https://myanimelist.net/manga/642/Vinland_Saga,Vinland Saga
8,Koe no Katachi,8.86,132459,finished,8/7/2013,244653,21260,2013-08-05 16:25:39+00:00,2022-04-18 05:00:47+00:00,"['Award Winning', 'Drama']","[{'id': 10951, 'first_name': 'Yoshitoki', 'last_name': 'Ooima', 'role': 'Story & Art'}]",['Shounen Magazine (Weekly)'],"Shouya Ishida, a mischievous elementary school student, finds himself troubled by deaf transfer student Shouko Nishimiya. Despite her genuine attempts to befriend her new classmates, Shouko only proves herself to be an annoyance for Shouya and his friends, provoking them to ridicule her at any possible chance. Soon enough, their taunts turn into constant assault—yet the teachers heartlessly remain apathetic to the situation.

Shouya's misdeeds are finally stopped when Shouko transfers to another school. Denying their involvement, the entire class puts the blame on Shouya. As the new victim of bullying, Shouya gradually becomes meek and reclusive, being treated with contempt and disregard for years to come.

Now a high school student, Shouya meets Shouko again for the first time in five years. Still tormented by his past actions, Shouya is determined to make amends for his mistakes and confront his trauma—even if he must face arduous obstacles along the way.

[Written by MAL Rewrite]","Before Koe no Katachi was serialized, the Japanese Federation of the Deaf reviewed the publication due to its subject matter and endorsed the series. The series ranked first on Kono Manga ga Sugoi!'s top 20 manga for male readers in 2015; in the same year, it was nominated for the 19th Tezuka Osamu Cultural Prize and later won the New Creator Prize. It was also nominated for the eighth Manga Taishou Award and the 38th Kodansha Manga Award in the best shounen category. The manga placed in the Top Ten of the Young Adult Library Services Association's 2016 and 2017 Great Graphic Novels for Teens list. The series was published in English by Kodansha Comics USA as A Silent Voice from May 26, 2015 to May 24, 2016, and again in a complete box set on December 19, 2017. Crunchyroll simultaneously published the series. The manga was also released in Chinese by Tong Li Publishing Co., Ltd.; in French by Éditions Ki-oon; in Indonesian by m&c!; in Italian by Edizioni Star Comics; in Portuguese by NewPOP; in Russian by Istari Comics; and in Spanish by Milky Way Ediciones.",https://cdn.myanimelist.net/images/manga/1/120529l.jpg,https://myanimelist.net/manga/56805/Koe_no_Katachi,A Silent Voice
9,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.92,98602,currently_publishing,5/19/2015,223578,25182,2015-06-07 08:34:21+00:00,2022-04-18 05:07:31+00:00,"['Award Winning', 'Comedy']","[{'id': 2139, 'first_name': 'Aka', 'last_name': 'Akasaka', 'role': 'Story & Art'}]",['Young Jump'],"Considered a genius due to having the highest grades in the country, Miyuki Shirogane leads the prestigious Shuchiin Academy's student council as its president, working alongside the beautiful and wealthy vice president Kaguya Shinomiya. The two are often regarded as the perfect couple by students despite them not being in any sort of romantic relationship.

However, the truth is that after spending so much time together, the two have developed feelings for one another; unfortunately, neither is willing to confess, as doing so would be a sign of weakness. With their pride as elite students on the line, Miyuki and Kaguya embark on a quest to do whatever is necessary to get a confession out of the other. Through their daily antics, the battle of love begins!

[Written by MAL Rewrite]","Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen has been published in English as Kaguya-sama: Love is War by VIZ Media under the Shonen Jump imprint since March 6, 2018.",https://cdn.myanimelist.net/images/manga/3/188896l.jpg,https://myanimelist.net/manga/90125/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen,Kaguya-sama: Love is War
10,Chainsaw Man,8.73,265516,currently_publishing,12/3/2018,428741,59111,2018-12-21 13:26:12+00:00,2022-07-12 15:40:41+00:00,"['Action', 'Adventure', 'Award Winning']","[{'id': 41158, 'first_name': 'Tatsuki', 'last_name': 'Fujimoto', 'role': 'Story & Art'}]",['Shounen Jump+'],"Denji has a simple dream—to live a happy and peaceful life, spending time with a girl he likes. This is a far cry from reality, however, as Denji is forced by the yakuza into killing devils in order to pay off his crushing debts. Using his pet devil Pochita as a weapon, he is ready to do anything for a bit of cash.

Unfortunately, he has outlived his usefulness and is murdered by a devil in contract with the yakuza. However, in an unexpected turn of events, Pochita merges with Denji's dead body and grants him the powers of a chainsaw devil. Now able to transform parts of his body into chainsaws, a revived Denji uses his new abilities to quickly and brutally dispatch his enemies. Catching the eye of the official devil hunters who arrive at the scene, he is offered work at the Public Safety Bureau as one of them. Now with the means to face even the toughest of enemies, Denji will stop at nothing to achieve his simple teenage dreams.

[Written by MAL Rewrite]","As part of the JUMP START initiative, the first three chapters of Chainsaw Man were published in English in VIZ Media's digital Weekly Shounen Jump on the same day as the Japanese release. The first part of the series ended with 97 chapters on December 14, 2020. Serialization of the second part began on Shounen Jump+ with the release of chapter 98 on July 13, 2022.",https://cdn.myanimelist.net/images/manga/3/216464l.jpg,https://myanimelist.net/manga/116778/Chainsaw_Man,Chainsaw Man
